Outcome 6 Result 6b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
550 patients in Cohort 1 and 61 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9997854077253221,0.9984775906814582,0.9999697689956282,0.9994173625946782,0.9981945975586504,0.9998120498621373
2,,,,0.9990289376577977,0.9976685815691589,0.9995957022384209
6,0.9995708154506442,0.9982850359767503,0.99989264467502,,,
7,0.999356223175966,0.9980052746407427,0.9997923228951188,0.9988347251893565,0.9974080914298862,0.9994763197652684
10,0.9989270386266089,0.9974241168617916,0.9995532637071869,0.9986405127209174,0.9971504585022465,0.9993516556467592
13,0.998712446351931,0.9971363226235709,0.999421347557606,,,
15,,,,0.9984463002524768,0.9968956195758159,0.9992226964889702
18,,,,0.9982520877840364,0.996643370336604,0.9990901539390145
19,0.9982832618025745,0.9965701391618362,0.9991410946304737,,,
20,0.9980686695278972,0.9962914541050464,0.9989946344074787,0.9980578753155953,0.9963934790757488,0.998954561573797
21,0.9976394849785408,0.9957416583511928,0.998692057354811,,,
22,,,,0.9978636628471546,0.9961457242312862,0.9988163318041027
23,0.9974248927038635,0.9954700816419224,0.9985367572311614,,,
24,,,,0.9974752379102741,0.9956558466782117,0.9985332041135941
28,0.997210300429184,0.9952004499432414,0.9983791948165703,,,
30,0.997210300429184,0.9952004499432414,0.9983791948165703,0.9972810254418332,0.9954133921964693,0.9983887873078412
31,,,,0.9970868129733931,0.9951724065992898,0.9982427219358708
35,0.9969956619658978,0.9949325140968054,0.9982195826193294,,,
38,,,,0.9968926005049519,0.9949327709484567,0.9980951608942081
40,,,,0.9966983880365122,0.9946943806256828,0.9979462347098748
41,0.9967810235026113,0.9946662048296978,0.9980581470935994,,,
