Outcome 1 Result 1b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9996161228406916,0.9984659740440208,0.9999039794022856,0.9988483685220734,0.9974384167220799,0.9994824530917071
2,0.9994241842610354,0.9982157228824201,0.9998142508593179,0.998656429942418,0.9971837970430966,0.9993592492969727
5,0.9992322456813809,0.9979556957779492,0.9997117789731377,,,
6,0.9990403071017269,0.9976958600301744,0.9996004371856878,0.9984644913627646,0.9969319385370621,0.9992318008511416
7,0.9988483685220734,0.9974384167220799,0.9994824530917071,,,
9,0.998656429942418,0.9971837970430966,0.9993592492969727,0.9982725527831093,0.9966826392915272,0.9991008110647744
11,0.9984644913627646,0.9969319385370621,0.9992318008511416,,,
12,0.9982725527831093,0.9966826392915272,0.9991008110647744,,,
15,0.9980806142034548,0.9964356703173756,0.9989668072636237,,,
17,,,,0.9980806142034548,0.9964356703173756,0.9989668072636237
18,,,,0.9978886756237995,0.9961908126520653,0.9988301970263835
19,0.9978886756237995,0.9961908126520653,0.9988301970263835,,,
28,,,,0.997696737044146,0.9959478685372493,0.9986913031980906
30,0.9978886756237995,0.9961908126520653,0.9988301970263835,,,
31,,,,0.9975047984644916,0.9957066632499434,0.9985503867279709
33,0.9976967001186776,0.9959478035891896,0.9986912822204602,,,
36,0.9975047246135547,0.995706536215347,0.9985503438275803,,,
37,0.9973127491084334,0.995466856824104,0.9984075965028333,,,
38,0.9971207736033105,0.9952286309449339,0.9982632192771729,0.9971209213051823,0.9952288756191732,0.9982633083727244
39,0.9969287980981895,0.9949917407228781,0.9981173633388842,,,
41,0.9967368225930673,0.9947560825239894,0.9979701577543894,,,
49,0.9965448470879461,0.9945215648543027,0.9978217137591693,0.9969289827255268,0.9949920416704143,0.9981174765199821
51,0.9965448470879461,0.9945215648543027,0.9978217137591693,,,
58,0.9965448470879461,0.9945215648543027,0.9978217137591693,,,
60,,,,0.996737044145873,0.9947564383938375,0.997970295582041
69,0.9965448470879461,0.9945215648543027,0.9978217137591693,,,
71,0.9963527605715464,0.9942879327483609,0.997672057197959,,,
75,0.9959685875387434,0.9938235768454818,0.9973696427702347,,,
77,,,,0.9965451055662183,0.9945219744878141,0.9978218767360352
80,0.995776501022343,0.9935927295524967,0.9972170260408602,,,
82,,,,0.9963531669865646,0.9942885689851482,0.997672316612484
85,0.9955844145059428,0.993362697270204,0.9970635509203007,,,
89,0.9953923279895412,0.9931334324054968,0.9969092704516554,0.9961612284069096,0.99405614977525,0.9975216998327932
92,,,,0.9957773512475999,0.9935940188375283,0.9972175863055392
99,0.9950081549567401,0.9926770360065958,0.9965984799809207,,,
105,0.9950081549567401,0.9926770360065958,0.9965984799809207,,,
106,0.9950081549567401,0.9926770360065958,0.9965984799809207,,,
116,,,,0.9953934740882916,0.9931351395572219,0.9969100393102401
125,0.9950081549567401,0.9926770360065958,0.9965984799809207,,,
132,0.9950081549567401,0.9926770360065958,0.9965984799809207,,,
134,0.9950081549567401,0.9926770360065958,0.9965984799809207,,,
135,0.9948158828495007,0.9924495588694715,0.996441925089897,,,
138,0.994623610742263,0.9922227014598802,0.9962847290382006,,,
139,0.9944313386350253,0.991996433201497,0.996126924627211,,,
141,0.9944313386350253,0.991996433201497,0.996126924627211,,,
146,0.9944313386350253,0.991996433201497,0.996126924627211,,,
149,0.9942389921478612,0.9917706196621208,0.995968489922057,0.9952015355086364,0.9929068036648647,0.9967551075923817
150,0.9940466456606976,0.9915453423780471,0.995809503992985,,,
151,0.9940466456606976,0.9915453423780471,0.995809503992985,,,
155,0.9940466456606976,0.9915453423780471,0.995809503992985,,,
161,0.993854224707221,0.9913204719962755,0.9956499397266346,,,
170,0.993854224707221,0.9913204719962755,0.9956499397266346,,,
173,,,,0.9950095969289825,0.9926791502267042,0.9965994627203638
180,0.9936617664917481,0.9910960400855119,0.995489846362185,,,
182,0.9934693082762743,0.9908720786558469,0.9953292720550131,,,
183,0.9932768500607999,0.9906485682154853,0.9951682371954863,,,
187,0.9930843918453263,0.9904254905823862,0.9950067607642215,,,
191,0.9930843918453263,0.9904254905823862,0.9950067607642215,,,
195,0.9930843918453263,0.9904254905823862,0.9950067607642215,,,
197,0.9928918590047198,0.9902027258659803,0.9948448063853936,,,
198,0.9926993261641145,0.9899803619488177,0.9946824442126542,,,
211,,,,0.9948176583493288,0.9924521435307151,0.9964431438339152
214,0.9925067933235082,0.989758383856814,0.9945196897589403,0.9946257197696735,0.9922257508455846,0.9962861866001572
