Outcome 1 Result 1b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
271 patients in Cohort 1 and 254 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9999646630623003,0.9997491675880309,0.9999950222399249,0.9998940528323195,0.9996715400181037,0.9999658285429265
2,0.999929107498971,0.9997165689551942,0.9999822695987491,0.9998587371097607,0.99962366223381,0.9999469791752751
3,0.999929107498971,0.9997165689551942,0.9999822695987491,,,
4,0.9998579482968996,0.9996215594432377,0.9999466833142656,0.9998234213872015,0.9995758170347179,0.9999264992817626
5,0.9998223648971933,0.9995732780246046,0.9999260597368623,,,
6,0.9998223648971933,0.9995732780246046,0.9999260597368623,,,
7,0.9998223648971933,0.9995732780246046,0.9999260597368623,0.9997881056646412,0.9995284100796777,0.9999047986484446
8,0.9998223648971933,0.9995732780246046,0.9999260597368623,0.9997527899420806,0.9994815210179421,0.9998821389556788
10,0.9998223648971933,0.9995732780246046,0.9999260597368623,,,
11,0.9996799502023853,0.999384981610912,0.9998334608755882,0.9997174742195213,0.9994351385377471,0.9998586995442048
12,0.999644342724193,0.9993390940910034,0.999808621507496,,,
13,0.999644342724193,0.9993390940910034,0.999808621507496,,,
14,0.999644342724193,0.9993390940910034,0.999808621507496,0.9996821584969623,0.999389225607343,0.9998346097636256
15,0.999644342724193,0.9993390940910034,0.999808621507496,,,
17,0.999644342724193,0.9993390940910034,0.999808621507496,0.9996468427744031,0.9993437401807089,0.9998099665896004
18,0.9996087162106773,0.9992935670529901,0.9997832883704256,0.999611527051843,0.9992986420374298,0.9997848449703093
20,,,,0.9995762113292831,0.9992538948460624,0.999759304267905
22,0.9996087162106773,0.9992935670529901,0.9997832883704256,0.9995055798841634,0.9991653288734405,0.9997071489856169
