Outcome 3 Result 3b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9993023580298597,0.9988430566754796,0.9995793571806333,1,,
2,0.9991628296358317,0.9986715744848917,0.9994724653543277,,,
3,0.9991163201711558,0.9986149514372026,0.9994362514695131,,,
4,,,,0.9999534905353239,0.9996698728157926,0.9999934483834026
6,0.999023301241804,0.9985024034889974,0.9993630768208247,,,
8,,,,0.9999069810706485,0.9996281214279086,0.9999767353726432
13,0.9989302823124511,0.9983906901315804,0.9992890168088713,,,
14,,,,0.9998604716059725,0.9995674459415491,0.9999549969775403
17,,,,0.9998139621412965,0.999504395930478,0.9999301726119211
19,0.9988837728477746,0.9983351155334939,0.9992516896702538,,,
27,0.9988372633830984,0.998279714804197,0.9992141802419066,0.999767452676621,0.9994413890797019,0.9999032007654671
28,0.9987907539184239,0.9982244784919454,0.9991764989519925,,,
31,0.9987442444537467,0.998169397959842,0.9991386552684811,,,
33,,,,0.999720943211945,0.9993789595633419,0.9998746211183942
42,,,,0.999674433747269,0.999317212246991,0.9998447783005707
44,0.9986977349890717,0.9981144652923817,0.9991006578187028,,,
46,,,,0.999627924282592,0.9992561322165382,0.9998139085029192
49,0.9986512255243948,0.9980596732150424,0.9990625144903754,,,
50,0.998604716059719,0.9980050150248727,0.9990242325175525,,,
54,,,,0.9995814148179163,0.999195670691351,0.999782182079236
59,,,,0.999534905353241,0.9991357722902323,0.9997497267474601
65,,,,0.9994883958885632,0.9990763840380491,0.99971664121567
70,0.9985582065950422,0.997950484530281,0.9989858185541084,,,
75,,,,0.9994418864238873,0.9990174580824766,0.999683003665315
77,0.9984651876656908,0.9978417841105259,0.9989086187405645,,,
78,0.9984186782010155,0.9977876039195349,0.9988698438245194,,,
84,0.9983721687363393,0.9977335308170165,0.9988309588746882,,,
93,0.9983256592716618,0.9976795605008821,0.9987919684394772,,,
98,,,,0.9993953769592124,0.9989589521423675,0.9996488772843058
100,,,,0.9993488674945357,0.9989008291540874,0.9996143140159074
101,,,,0.9993023580298597,0.9988430566754796,0.9995793571806333
110,,,,0.9992558485651837,0.9987856062624595,0.9995440433598588
118,,,,0.9992093391005086,0.9987284528963755,0.99950840378063
119,,,,0.9991628296358317,0.9986715744848917,0.9994724653543277
123,,,,0.9991163201711558,0.9986149514372026,0.9994362514695131
126,0.9982791498069865,0.9976256889480131,0.9987528767616084,,,
130,0.9982326403423112,0.9975719123897416,0.99871368780615,0.9990698107064803,0.9985585663063128,0.9993997826065675
134,0.998186130877634,0.9975182272900254,0.9986744052853352,,,
136,,,,0.999023301241804,0.9985024034889974,0.9993630768208247
137,0.9981396214129581,0.9974646303259549,0.9986350326805986,,,
138,0.9980931119482817,0.9974111183702842,0.998595573262188,,,
140,,,,0.9989767917771267,0.9984464489741873,0.9993261501270541
144,0.9980466024836062,0.9973576884757657,0.9985560301066986,,,
147,,,,0.9989302823124511,0.9983906901315804,0.9992890168088713
153,0.99800009301893,0.997304337861038,0.9985164061127653,,,
154,,,,0.9988837728477746,0.9983351155334939,0.9992516896702538
161,0.9979535835542546,0.9972510638979103,0.9984767040151665,,,
163,,,,0.9987907539184239,0.9982244784919454,0.9991764989519925
164,0.9979070740895781,0.9971978640998536,0.9984369263975112,,,
166,0.9978605646249024,0.9971447361115878,0.9983970757037007,0.9987442444537467,0.998169397959842,0.9991386552684811
169,,,,0.9986977349890717,0.9981144652923817,0.9991006578187028
172,0.9978140551602256,0.9970916776996163,0.9983571542482842,,,
174,,,,0.9986512255243948,0.9980596732150424,0.9990625144903754
177,0.9977675456955496,0.9970386867436273,0.9983171642258596,0.998604716059719,0.9980050150248727,0.9990242325175525
178,,,,0.9985116971303675,0.9978960759986458,0.9989472787369413
181,,,,0.9984651876656908,0.9978417841105259,0.9989086187405645
190,0.9977210362308743,0.9969857612286486,0.9982771077196024,0.9983721687363393,0.9977335308170165,0.9988309588746882
195,0.997674526766198,0.9969328992378877,0.9982369867090352,,,
196,,,,0.9983256592716618,0.9976795605008821,0.9987919684394772
198,,,,0.9982791498069865,0.9976256889480131,0.9987528767616084
201,0.9976280173015211,0.9968800989461885,0.998196803077115,,,
203,0.9975815078368452,0.9968273586140307,0.9981565586167092,,,
204,0.9975349983721686,0.9967746765820213,0.9981162550365149,0.9982326403423112,0.9975719123897416,0.99871368780615
206,,,,0.998186130877634,0.9975182272900254,0.9986744052853352
212,,,,0.9981396214129581,0.9974646303259549,0.9986350326805986
214,0.9974884889074936,0.9967220512658418,0.9980758939665022,0.9980931119482817,0.9974111183702842,0.998595573262188
217,0.9974419794428168,0.996669481151581,0.9980354769628946,0.9980466024836062,0.9973576884757657,0.9985560301066986
218,0.9973954699781418,0.9966169647914551,0.9979950055127731,0.99800009301893,0.997304337861038,0.9985164061127653
229,0.9973489605134653,0.9965645007998294,0.9979544810382921,,,
231,,,,0.9979535835542546,0.9972510638979103,0.9984767040151665
234,,,,0.9978605646249024,0.9971447361115878,0.9983970757037007
237,,,,0.9978140551602256,0.9970916776996163,0.9983571542482842
240,0.9973024510487897,0.9965120878495668,0.9979139049005947,,,
241,,,,0.9977675456955496,0.9970386867436273,0.9983171642258596
243,0.9972559415841132,0.9964597246686272,0.9978732784034096,,,
250,,,,0.9977210362308743,0.9969857612286486,0.9982771077196024
251,,,,0.997674526766198,0.9969328992378877,0.9982369867090352
254,,,,0.9976280173015211,0.9968800989461885,0.998196803077115
257,,,,0.9975815078368452,0.9968273586140307,0.9981565586167092
259,,,,0.9975349983721686,0.9967746765820213,0.9981162550365149
262,,,,0.9974884889074936,0.9967220512658418,0.9980758939665022
265,0.9972094321194364,0.9964074100369295,0.9978326027963925,,,
269,,,,0.9974419794428168,0.996669481151581,0.9980354769628946
273,,,,0.9973954699781418,0.9966169647914551,0.9979950055127731
274,,,,0.9973489605134653,0.9965645007998294,0.9979544810382921
276,,,,0.9972559415841132,0.9964597246686272,0.9978732784034096
277,,,,0.9972094321194364,0.9964074100369295,0.9978326027963925
280,0.9971629226547614,0.9963551427834342,0.9977918792782187,,,
281,0.9971164131900849,0.9963029217834258,0.9977511089994414,,,
287,,,,0.9971629226547614,0.9963551427834342,0.9977918792782187
295,,,,0.9971164131900849,0.9963029217834258,0.9977511089994414
299,0.9970699037254094,0.9962507459560028,0.9977102930651675,,,
300,0.9970233942607334,0.99619861426172,0.9976694325375239,0.9970699037254094,0.9962507459560028,0.9977102930651675
303,0.9969768847960574,0.9961465257004054,0.9976285284379699,,,
305,,,,0.9970233942607334,0.99619861426172,0.9976694325375239
310,,,,0.9969768847960574,0.9961465257004054,0.9976285284379699
314,0.9969303753313803,0.9960944793091142,0.9975875817494414,,,
315,0.9968838658667043,0.9960424741602252,0.9975465934183617,,,
316,,,,0.9969303753313803,0.9960944793091142,0.9975875817494414
317,0.9968373564020282,0.9959905093596487,0.9975055643565077,,,
325,0.9967908469373528,0.9959385840451624,0.9974644954427657,,,
326,,,,0.9968838658667043,0.9960424741602252,0.9975465934183617
333,0.9967443374726767,0.9958866973848414,0.9974233875247667,,,
338,,,,0.9968373564020282,0.9959905093596487,0.9975055643565077
346,0.9966513185433238,0.9957830368417807,0.9973410579193769,0.9967908469373528,0.9959385840451624,0.9974644954427657
347,0.9966048090786485,0.9957312614339248,0.9972998377843312,,,
349,,,,0.9967443374726767,0.9958866973848414,0.9974233875247667
352,,,,0.9966978280080008,0.995834848575594,0.9973822414204258
354,,,,0.9966513185433238,0.9957830368417807,0.9973410579193769
356,0.9965582996139718,0.9956795216274859,0.9972585817523353,,,
357,0.9965117901492965,0.9956278167217255,0.9972172905359769,0.9966048090786485,0.9957312614339248,0.9972998377843312
358,0.9964652806846196,0.9955761460386179,0.9971759648244959,,,
359,,,,0.9965582996139718,0.9956795216274859,0.9972585817523353
362,0.996418771219944,0.9955245089218435,0.9971346052848531,,,
363,,,,0.9965117901492965,0.9956278167217255,0.9972172905359769
364,,,,0.9964652806846196,0.9955761460386179,0.9971759648244959
365,0.9963722617552686,0.9954729047358206,0.9970932125627171,0.996418771219944,0.9955245089218435,0.9971346052848531
368,,,,0.9963722617552686,0.9954729047358206,0.9970932125627171
374,0.9963257522905927,0.9954213328648048,0.9970517872834093,,,
376,,,,0.9963257522905927,0.9954213328648048,0.9970517872834093
379,0.9962792428259153,0.9953697927120324,0.997010330052789,,,
382,0.9962327333612392,0.9953182836989162,0.9969688414580974,,,
383,0.9961862238965635,0.9952668052642737,0.9969273220687408,,,
384,,,,0.9961862238965635,0.9952668052642737,0.9969273220687408
386,,,,0.9961397144318875,0.9952153568636063,0.9968857724370446
387,0.9960932049672124,0.9951639379684161,0.9968441930989645,,,
388,0.9960466955025356,0.9951125480655496,0.9968025845747528,,,
392,,,,0.9960932049672124,0.9951639379684161,0.9968441930989645
395,,,,0.9960466955025356,0.9951125480655496,0.9968025845747528
397,,,,0.9960001860378598,0.995061186656591,0.9967609473696035
398,0.9960001860378598,0.995061186656591,0.9967609473696035,,,
401,,,,0.9959536765731828,0.9950098532572664,0.9967192819742474
402,0.9959536765731828,0.9950098532572664,0.9967192819742474,,,
403,0.9959071671085075,0.9949585473968985,0.9966775888655341,0.9959071671085075,0.9949585473968985,0.9966775888655341
406,,,,0.9957676387144785,0.9948047905356943,0.9965523478306656
408,0.9958606576438314,0.9949072686178688,0.9966358685069671,0.9957211292498024,0.9947535903782421,0.9965105483777646
409,0.9958141481791558,0.9948560164751246,0.9965941213492286,,,
414,,,,0.995674619785127,0.9947024155926272,0.9964687234055897
415,0.9957676387144785,0.9948047905356943,0.9965523478306656,,,
418,0.9957211292498024,0.9947535903782421,0.9965105483777646,,,
419,0.995674619785127,0.9947024155926272,0.9964687234055897,,,
420,,,,0.9955350913910993,0.994549039524848,0.9963430993615235
421,,,,0.9954885819264229,0.9944979623351109,0.9963011762489191
426,0.9956281103204502,0.9946512657794931,0.996426873318207,,,
429,0.9955350913910993,0.994549039524848,0.9963430993615235,,,
431,0.9954885819264229,0.9944979623351109,0.9963011762489191,,,
434,0.9954420724617469,0.9944469086207103,0.9962592295352238,,,
436,0.9953955629970712,0.9943958780306786,0.9962172595752223,,,
437,0.9953490535323938,0.9943448702227297,0.9961752667148617,,,
438,0.9952560346030431,0.9942429216255919,0.9960912136345089,0.9954420724617469,0.9944469086207103,0.9962592295352238
440,,,,0.9953955629970712,0.9943958780306786,0.9962172595752223
441,0.9951630156736898,0.9941410602536788,0.9960070728963111,,,
443,0.9951165062090145,0.994090161505654,0.9959649704347916,,,
445,,,,0.9953490535323938,0.9943448702227297,0.9961752667148617
447,,,,0.9953025440677178,0.9942938848629671,0.9961332512915638
448,,,,0.9952560346030431,0.9942429216255919,0.9960912136345089
450,,,,0.995209525138366,0.9941919801926293,0.9960491540649141
453,,,,0.9951630156736898,0.9941410602536788,0.9960070728963111
454,0.9950234872796623,0.9939884264051956,0.9958807028216403,,,
458,0.9949769778149853,0.9939375894810737,0.9958385382471607,,,
460,,,,0.9951165062090145,0.994090161505654,0.9959649704347916
469,,,,0.995069996744338,0.9940392836525453,0.9959228469792533
470,0.9949304683503105,0.9938867726040721,0.9957963535345107,0.9950234872796623,0.9939884264051956,0.9958807028216403
473,0.9948839588856346,0.993835975504293,0.9957541489560696,,,
476,0.9948374494209575,0.9937851979178638,0.9957119247781079,,,
483,,,,0.9949769778149853,0.9939375894810737,0.9958385382471607
485,,,,0.9949304683503105,0.9938867726040721,0.9957963535345107
486,0.9947909399562811,0.9937344395867496,0.9956696812609767,,,
490,0.9947444304916054,0.9936837002585701,0.9956274186592867,,,
491,0.9946979210269289,0.9936329796864284,0.9955851372220843,,,
492,,,,0.9948839588856346,0.993835975504293,0.9957541489560696
499,0.9946514115622533,0.9935822776287496,0.9955428371930248,,,
500,0.9946049020975772,0.9935315938491158,0.9955005188105289,,,
506,,,,0.9947909399562811,0.9937344395867496,0.9956696812609767
508,0.9945583926329008,0.993480928116118,0.9954581823079428,0.9947444304916054,0.9936837002585701,0.9956274186592867
512,0.994511883168226,0.9934302802032086,0.9954158279136891,,,
513,0.9944653737035496,0.993379649888553,0.995373455851404,,,
515,0.9944188642388736,0.9933290369549039,0.995331066340087,,,
516,,,,0.9946979210269289,0.9936329796864284,0.9955851372220843
520,,,,0.9946514115622533,0.9935822776287496,0.9955428371930248
523,,,,0.9945583926329008,0.993480928116118,0.9954581823079428
529,,,,0.994511883168226,0.9934302802032086,0.9954158279136891
531,,,,0.9944653737035496,0.993379649888553,0.995373455851404
536,,,,0.9944188642388736,0.9933290369549039,0.995331066340087
539,0.9943723547741966,0.9932784411894606,0.9952886595942257,,,
541,,,,0.9943723547741966,0.9932784411894606,0.9952886595942257
546,0.9943258453095207,0.99322786238375,0.9952462358239322,0.9943258453095207,0.99322786238375,0.9952462358239322
549,0.9942793358448446,0.9931773003334969,0.9952037952350601,,,
550,0.9941863169154931,0.9930762257025776,0.9951188644044409,,,
556,0.9941398074508169,0.9930257127333344,0.9950763745541846,0.9942793358448446,0.9931773003334969,0.9952037952350601
558,0.9940467885214643,0.9929247345441713,0.9949913469338363,,,
560,0.9939537695921133,0.9928238188054717,0.9949062566444408,,,
561,,,,0.9942328263801685,0.9931267548385121,0.9951613380293295
562,0.9939072601274361,0.9927733839122853,0.9948636884447416,,,
564,0.9938607506627598,0.9927229641070727,0.99482110510611,,,
565,0.993814241198085,0.9926725592217467,0.9947785067977869,,,
566,,,,0.9941863169154931,0.9930762257025776,0.9951188644044409
570,,,,0.9941398074508169,0.9930257127333344,0.9950763745541846
571,0.993767731733409,0.9926221690913278,0.9947358936858636,,,
573,,,,0.9940932979861404,0.9929752157421814,0.9950338686685517
574,,,,0.9940467885214643,0.9929247345441713,0.9949913469338363
575,,,,0.994000279056789,0.9928742689579123,0.9949488095327345
579,0.9937212222687324,0.9925717935538718,0.9946932659333699,,,
582,0.993674712804056,0.992521432450389,0.9946506237003501,,,
584,0.9935816938747051,0.9924207529237057,0.9945652964184291,,,
587,0.9935351844100287,0.9923704341966308,0.9945226116753542,,,
588,,,,0.9939537695921133,0.9928238188054717,0.9949062566444408
589,0.9934886749453523,0.9923201292956458,0.9944799130635493,,,
593,0.9934421654806767,0.9922698380754552,0.9944372007292209,,,
595,0.9933956560159993,0.9922195603932998,0.9943944748160075,,,
597,0.9933026370866483,0.9921190450844023,0.9943089828150468,0.9939072601274361,0.9927733839122853,0.9948636884447416
598,0.9932561276219715,0.9920688071842934,0.9942662170023072,,,
601,,,,0.9938607506627598,0.9927229641070727,0.99482110510611
606,0.99316310869262,0.9919683702267136,0.9941806464223114,,,
610,,,,0.993767731733409,0.9926221690913278,0.9947358936858636
616,0.9931165992279442,0.9919181709095392,0.994137841916272,,,
617,0.9930700897632685,0.9918679841972499,0.9940950247700409,,,
622,0.9930235802985923,0.9918178099653321,0.9940521951088378,0.9937212222687324,0.9925717935538718,0.9946932659333699
624,0.9929770708339152,0.9917676480913202,0.9940093530558174,0.993674712804056,0.992521432450389,0.9946506237003501
625,0.9928840519045626,0.9916673609371116,0.9939236322569022,,,
628,0.9928375424398881,0.9916172354218055,0.9938807537474087,,,
630,,,,0.9936282033393805,0.9924710856247688,0.994607967143938
631,0.9927910329752104,0.9915671217940953,0.9938378633189847,0.9935816938747051,0.9924207529237057,0.9945652964184291
632,0.9927445235105345,0.9915170199410801,0.9937949610851451,,,
635,0.9926980140458583,0.9914669297516374,0.9937520471575969,,,
636,,,,0.9935351844100287,0.9923704341966308,0.9945226116753542
637,0.992651504581183,0.9914168511163948,0.9937091216462889,0.9934421654806767,0.9922698380754552,0.9944372007292209
640,,,,0.9933491465513246,0.992169296108904,0.9943517354650518
641,,,,0.9933026370866483,0.9921190450844023,0.9943089828150468
643,0.9926049951165066,0.9913667839276845,0.9936661846594442,,,
655,0.9925584856518305,0.9913167280795137,0.9936232363036043,,,
659,,,,0.9932561276219715,0.9920688071842934,0.9942662170023072
