Outcome 7 Result 7b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
61 patients in Cohort 1 and 41 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,1,,,0.9998948438431069,0.9996739920581004,0.9999660836790918
2,1,,,0.999859791790809,0.9996264716765035,0.9999473750507097
3,1,,,,,
4,1,,,,,
5,1,,,,,
6,1,,,,,
7,1,,,,,
8,1,,,,,
10,1,,,,,
11,0.9999646530698806,0.999749096666441,0.9999950208323145,,,
12,0.9999646530698806,0.999749096666441,0.9999950208323145,,,
13,0.9999646530698806,0.999749096666441,0.9999950208323145,,,
14,0.9999646530698806,0.999749096666441,0.9999950208323145,,,
15,0.9999646530698806,0.999749096666441,0.9999950208323145,,,
16,0.9999646530698806,0.999749096666441,0.9999950208323145,,,
17,0.9999646530698806,0.999749096666441,0.9999950208323145,,,
18,0.9999646530698806,0.999749096666441,0.9999950208323145,0.9998247397385116,0.9995789836324419,0.9999270480726049
20,,,,0.9997896876862142,0.9995319305572045,0.9999055094712003
22,0.9999646530698806,0.999749096666441,0.9999950208323145,,,
23,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
24,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
25,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
26,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
27,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
28,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
29,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
30,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
31,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
32,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
33,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
34,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
35,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
38,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
39,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
41,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
42,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
43,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
44,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
45,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
46,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
47,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
48,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
49,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
53,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
54,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
55,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
56,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
59,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
60,0.9999292773790381,0.9997172499198038,0.9999823119716239,,,
61,0.9998938440240627,0.9996708925351194,0.9999657612140471,,,
62,0.9998938440240627,0.9996708925351194,0.9999657612140471,0.9997546356339159,0.9994853915058973,0.9998830189730037
63,0.9998938440240627,0.9996708925351194,0.9999657612140471,,,
65,,,,0.9997195835816192,0.9994393552515128,0.9998597545796756
66,0.9998938440240627,0.9996708925351194,0.9999657612140471,,,
67,0.9998938440240627,0.9996708925351194,0.9999657612140471,,,
68,0.9998938440240627,0.9996708925351194,0.9999657612140471,,,
69,0.9998938440240627,0.9996708925351194,0.9999657612140471,,,
72,0.9998938440240627,0.9996708925351194,0.9999657612140471,,,
73,0.9998938440240627,0.9996708925351194,0.9999657612140471,,,
74,0.9998583943380377,0.9996227488907191,0.9999468505542047,,,
76,0.9998583943380377,0.9996227488907191,0.9999468505542047,,,
77,0.9998583943380377,0.9996227488907191,0.9999468505542047,,,
78,0.9998583943380377,0.9996227488907191,0.9999468505542047,,,
79,0.9998583943380377,0.9996227488907191,0.9999468505542047,,,
80,0.9998583943380377,0.9996227488907191,0.9999468505542047,,,
81,0.9998583943380377,0.9996227488907191,0.9999468505542047,,,
82,0.9998583943380377,0.9996227488907191,0.9999468505542047,,,
84,0.9998583943380377,0.9996227488907191,0.9999468505542047,,,
86,0.9998583943380377,0.9996227488907191,0.9999468505542047,,,
88,0.9998583943380377,0.9996227488907191,0.9999468505542047,,,
89,0.9998583943380377,0.9996227488907191,0.9999468505542047,,,
92,0.9998583943380377,0.9996227488907191,0.9999468505542047,,,
93,0.9998583943380377,0.9996227488907191,0.9999468505542047,,,
94,0.9998583943380377,0.9996227488907191,0.9999468505542047,,,
97,0.9998583943380377,0.9996227488907191,0.9999468505542047,,,
100,0.9998583943380377,0.9996227488907191,0.9999468505542047,,,
101,0.9998583943380377,0.9996227488907191,0.9999468505542047,,,
102,0.9998583943380377,0.9996227488907191,0.9999468505542047,,,
103,0.9998229094250122,0.9995745869357071,0.9999262862360615,,,
105,0.9998229094250122,0.9995745869357071,0.9999262862360615,0.9996845315293215,0.9993937850389817,0.9998358446749883
107,0.9998229094250122,0.9995745869357071,0.9999262862360615,,,
108,0.9998229094250122,0.9995745869357071,0.9999262862360615,,,
109,0.9998229094250122,0.9995745869357071,0.9999262862360615,,,
111,,,,0.999649479477024,0.9993486391363484,0.9998113855104909
112,0.9998229094250122,0.9995745869357071,0.9999262862360615,,,
113,0.9998229094250122,0.9995745869357071,0.9999262862360615,,,
115,0.9998229094250122,0.9995745869357071,0.9999262862360615,,,
116,0.9998229094250122,0.9995745869357071,0.9999262862360615,,,
117,0.9998229094250122,0.9995745869357071,0.9999262862360615,,,
119,0.9998229094250122,0.9995745869357071,0.9999262862360615,,,
120,0.9998229094250122,0.9995745869357071,0.9999262862360615,,,
121,0.9998229094250122,0.9995745869357071,0.9999262862360615,,,
122,0.9998229094250122,0.9995745869357071,0.9999262862360615,,,
