Outcome 3 Result 3b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9998853473973865,0.9991863575124907,0.9999838488383264,0.999770694794771,0.9990834524645781,0.9999426463750656
2,,,,0.9996560421921582,0.9989339201963736,0.999889053313268
4,0.999770694794771,0.9990834524645781,0.9999426463750656,,,
6,,,,0.9995413895895435,0.9987785409326425,0.9998278506630814
10,0.9996560421921582,0.9989339201963736,0.999889053313268,,,
22,0.9995413895895435,0.9987785409326425,0.9998278506630814,,,
32,0.9994267369869302,0.998623271770209,0.999761352054741,,,
33,0.9993120843843158,0.9984694285783504,0.9996908879917489,,,
41,0.9991974317817004,0.9983172694243335,0.9996173081385372,,,
42,0.9990827791790869,0.9981667572885422,0.9995411948298345,,,
44,,,,0.9994267369869302,0.998623271770209,0.999761352054741
50,,,,0.9993120843843158,0.9984694285783504,0.9996908879917489
70,,,,0.9991974317817004,0.9983172694243335,0.9996173081385372
76,0.9989681265764725,0.9980177717512559,0.9994629680916866,,,
78,,,,0.9990827791790869,0.9981667572885422,0.9995411948298345
80,0.9988534739738584,0.9978701761670454,0.9993829428375557,,,
84,,,,0.9989681265764725,0.9980177717512559,0.9994629680916866
89,0.9987388213712455,0.9977238398489571,0.9993013624597865,,,
91,0.9986241687686302,0.9975786447561411,0.9992184197431672,,,
93,,,,0.9988534739738584,0.9978701761670454,0.9993829428375557
113,0.9985095161660175,0.9974344865937976,0.9991342705058085,,,
150,0.9983948635634019,0.9972912739380424,0.9990490428414817,,,
161,0.9982802109607888,0.9971489267644759,0.9989628435836162,0.9987388213712455,0.9977238398489571,0.9993013624597865
164,,,,0.9986241687686302,0.9975786447561411,0.9992184197431672
171,0.998165558358175,0.9970073749099524,0.9988757629492179,,,
172,0.9980509057555605,0.9968665566599146,0.9987878779530663,,,
176,0.9979362531529463,0.9967264175172511,0.9986992549685497,,,
177,,,,0.9985095161660175,0.9974344865937976,0.9991342705058085
201,,,,0.9983948635634019,0.9972912739380424,0.9990490428414817
203,,,,0.9982802109607888,0.9971489267644759,0.9989628435836162
206,0.9978216005503328,0.9965869091545423,0.9986099516824344,,,
207,0.9977069479477175,0.9964479885318033,0.9985200186103206,,,
210,0.9975922953451046,0.9963096171564859,0.9984295002878607,,,
214,,,,0.998165558358175,0.9970073749099524,0.9988757629492179
217,,,,0.9980509057555605,0.9968665566599146,0.9987878779530663
229,0.9974776427424905,0.9961717604629143,0.998338436218742,0.9979362531529463,0.9967264175172511,0.9986992549685497
231,0.9973629901398758,0.9960343872909494,0.9982468616375995,,,
235,0.9972483375372627,0.9958974694466496,0.9981548081301989,,,
243,,,,0.9978216005503328,0.9965869091545423,0.9986099516824344
246,0.9971336849346487,0.9957609813306654,0.998062304142258,,,
265,,,,0.9977069479477175,0.9964479885318033,0.9985200186103206
271,0.9970190323320343,0.995624899622658,0.9979693754004464,,,
287,0.9969043797294191,0.9954892030121473,0.9978760452634023,,,
291,0.9967897271268059,0.9953538719679952,0.9977823350165052,,,
299,0.996675074524191,0.9952188885401304,0.9976882641210316,,,
314,,,,0.9975922953451046,0.9963096171564859,0.9984295002878607
317,0.9965604219215775,0.9950842361883308,0.9975938504260724,0.9974776427424905,0.9961717604629143,0.998338436218742
320,0.9964457693189638,0.9949498996337437,0.997499110349762,,,
325,,,,0.9973629901398758,0.9960343872909494,0.9982468616375995
326,0.9963311167163497,0.994815864729658,0.9974040590351186,,,
347,,,,0.9972483375372627,0.9958974694466496,0.9981548081301989
353,0.9962164641137358,0.9946821183485967,0.9973087104846982,,,
355,0.9961018115111203,0.9945486482833183,0.9972130776774804,,,
356,,,,0.9971336849346487,0.9957609813306654,0.998062304142258
362,,,,0.9970190323320343,0.995624899622658,0.9979693754004464
